result_id,election_id,office,state,race_id,event_time,available_at,certified_at,dem_votes,rep_votes,other_votes,two_party_margin,margin_definition,margin_value,score_eligible,score_exclusion_reason,winner_party,winner_caucus,ballot_winner_party,modeled_side,stage,certification_status,source_url,raw_hash,retrieved_at,release_version
senate-2016-AK-certified,senate-2016,US_SENATE,AK,senate-2016-AK,2016-11-08,2016-11-22,,36200.0,138149.0,136386.0,-58.4741,dem_minus_rep,-58.4741,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-AL-certified,senate-2016,US_SENATE,AL,senate-2016-AL,2016-11-08,2016-11-22,,748709.0,1335104.0,0.0,-28.1405,dem_minus_rep,-28.1405,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-AR-certified,senate-2016,US_SENATE,AR,senate-2016-AR,2016-11-08,2016-11-22,,400602.0,661984.0,43866.0,-24.5987,dem_minus_rep,-24.5987,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-AZ-certified,senate-2016,US_SENATE,AZ,senate-2016-AZ,2016-11-08,2016-11-22,,1031245.0,1359267.0,140218.0,-13.7218,dem_minus_rep,-13.7218,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-CA-certified,senate-2016,US_SENATE,CA,senate-2016-CA,2016-11-08,2016-11-22,,7542759.0,0.0,4701417.0,23.2057,same_party_lead,23.2057,False,same_party_final,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-CO-certified,senate-2016,US_SENATE,CO,senate-2016-CO,2016-11-08,2016-11-22,,1370710.0,1215318.0,156995.0,6.0089,dem_minus_rep,6.0089,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-CT-certified,senate-2016,US_SENATE,CT,senate-2016-CT,2016-11-08,2016-11-22,,920766.0,552621.0,122889.0,24.9863,dem_minus_rep,24.9863,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-FL-certified,senate-2016,US_SENATE,FL,senate-2016-FL,2016-11-08,2016-11-22,,4122088.0,4835191.0,344541.0,-7.9612,dem_minus_rep,-7.9612,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-GA-certified,senate-2016,US_SENATE,GA,senate-2016-GA,2016-11-08,2016-11-22,,1599726.0,2135806.0,163073.0,-14.3508,dem_minus_rep,-14.3508,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-HI-certified,senate-2016,US_SENATE,HI,senate-2016-HI,2016-11-08,2016-11-22,,306604.0,92653.0,17305.0,53.5873,dem_minus_rep,53.5873,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-IA-certified,senate-2016,US_SENATE,IA,senate-2016-IA,2016-11-08,2016-11-22,,549460.0,926007.0,63884.0,-25.5205,dem_minus_rep,-25.5205,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-ID-certified,senate-2016,US_SENATE,ID,senate-2016-ID,2016-11-08,2016-11-22,,188249.0,449017.0,41677.0,-40.9198,dem_minus_rep,-40.9198,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-IL-certified,senate-2016,US_SENATE,IL,senate-2016-IL,2016-11-08,2016-11-22,,3012940.0,2184692.0,294246.0,15.9351,dem_minus_rep,15.9351,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-IN-certified,senate-2016,US_SENATE,IN,senate-2016-IN,2016-11-08,2016-11-22,,1158947.0,1423991.0,149608.0,-10.2613,dem_minus_rep,-10.2613,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-KS-certified,senate-2016,US_SENATE,KS,senate-2016-KS,2016-11-08,2016-11-22,,379740.0,732376.0,65806.0,-31.7086,dem_minus_rep,-31.7086,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-KY-certified,senate-2016,US_SENATE,KY,senate-2016-KY,2016-11-08,2016-11-22,,813246.0,1090177.0,42.0,-14.5491,dem_minus_rep,-14.5491,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-LA-certified,senate-2016,US_SENATE,LA,senate-2016-LA,2016-12-10,2016-12-11,,347816.0,536191.0,0.0,-21.3092,dem_minus_rep,-21.3092,True,,R,R,R,R,runoff,public_canvass_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-MD-certified,senate-2016,US_SENATE,MD,senate-2016-MD,2016-11-08,2016-11-22,,1659907.0,972557.0,90475.0,26.1105,dem_minus_rep,26.1105,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-MO-certified,senate-2016,US_SENATE,MO,senate-2016-MO,2016-11-08,2016-11-22,,1300200.0,1378458.0,123983.0,-2.9215,dem_minus_rep,-2.9215,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-NC-certified,senate-2016,US_SENATE,NC,senate-2016-NC,2016-11-08,2016-11-22,,2128165.0,2395376.0,167592.0,-5.9071,dem_minus_rep,-5.9071,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-ND-certified,senate-2016,US_SENATE,ND,senate-2016-ND,2016-11-08,2016-11-22,,58116.0,268788.0,15231.0,-64.4446,dem_minus_rep,-64.4446,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-NH-certified,senate-2016,US_SENATE,NH,senate-2016-NH,2016-11-08,2016-11-22,,354649.0,353632.0,30339.0,0.1436,dem_minus_rep,0.1436,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-NV-certified,senate-2016,US_SENATE,NV,senate-2016-NV,2016-11-08,2016-11-22,,521994.0,495079.0,48964.0,2.6463,dem_minus_rep,2.6463,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-NY-certified,senate-2016,US_SENATE,NY,senate-2016-NY,2016-11-08,2016-11-22,,4784220.0,1723927.0,779437.0,47.0225,dem_minus_rep,47.0225,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-OH-certified,senate-2016,US_SENATE,OH,senate-2016-OH,2016-11-08,2016-11-22,,1996913.0,3118568.0,258689.0,-21.9267,dem_minus_rep,-21.9267,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-OK-certified,senate-2016,US_SENATE,OK,senate-2016-OK,2016-11-08,2016-11-22,,355911.0,980892.0,111244.0,-46.7519,dem_minus_rep,-46.7519,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-OR-certified,senate-2016,US_SENATE,OR,senate-2016-OR,2016-11-08,2016-11-22,,1105119.0,651106.0,194195.0,25.8516,dem_minus_rep,25.8516,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-PA-certified,senate-2016,US_SENATE,PA,senate-2016-PA,2016-11-08,2016-11-22,,2865012.0,2951702.0,235142.0,-1.4904,dem_minus_rep,-1.4904,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-SC-certified,senate-2016,US_SENATE,SC,senate-2016-SC,2016-11-08,2016-11-22,,704540.0,1241609.0,101887.0,-27.5965,dem_minus_rep,-27.5965,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2016-SD-certified,senate-2016,US_SENATE,SD,senate-2016-SD,2016-11-08,2016-11-22,,104140.0,265516.0,0.0,-43.6557,dem_minus_rep,-43.6557,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
